date,household_deposits,card_consumables,card_credit,household_loans,google_home_loan_rate_search,unemployment_rate,employed_labour_force,labour_force_participation_rate,labour_cost_index,cpi,cpi_housing_household,cpi_qq,cpi_yy,production_based_gdp,production_based_gdp_qq,production_based_gdp_yy
2010-10,90515,1392.7,2017.9,123566.3333,0.0,6.133333333333333,2163.3333333333335,67.7,1022.6666666666666,913.0,817.3333333333334,1.5,2.3333333333333335,49597.0,-0.33333333333333337,1.4
2010-11,91205,1384.3,2202.3,123778.6667,0.0,6.166666666666667,2160.6666666666665,67.6,1024.3333333333333,920.0,821.6666666666666,1.9,3.166666666666667,50439.0,-0.4666666666666667,0.8
2010-12,93158,1651.0,2620.1,123991.0,0.0,6.2,2158.0,67.5,1026.0,927.0,826.0,2.3,4.0,51281.0,-0.6,0.2
2011-01,92702,1378.6,2080.9,124155.6667,0.0,6.133333333333334,2164.3333333333335,67.63333333333334,1027.6666666666667,929.6666666666666,827.3333333333334,1.7999999999999998,4.166666666666667,50515.0,-0.06666666666666665,0.43333333333333335
2011-02,93335,1295.5,2061.4,124320.3333,0.0,6.066666666666666,2170.6666666666665,67.76666666666667,1029.3333333333333,932.3333333333334,828.6666666666666,1.2999999999999998,4.333333333333333,49749.0,0.4666666666666667,0.6666666666666666
2011-03,94858,1414.8,2229.5,124485.0,16.0,6.0,2177.0,67.9,1031.0,935.0,830.0,0.8,4.5,48983.0,1.0,0.9
2011-04,95160,1384.3,2069.2,124733.0,0.0,6.033333333333333,2180.0,67.9,1032.3333333333333,938.0,832.6666666666666,0.8666666666666667,4.766666666666667,48947.0,0.8,0.8
2011-05,95138,1374.9,2062.6,124981.0,0.0,6.066666666666666,2183.0,67.9,1033.6666666666667,941.0,835.3333333333334,0.9333333333333333,5.033333333333333,48911.0,0.6000000000000001,0.7
2011-06,95815,1345.4,1966.6,125229.0,0.0,6.1,2186.0,67.9,1035.0,944.0,838.0,1.0,5.3,48875.0,0.4,0.6
2011-07,96248,1400.3,2091.0,125339.0,0.0,6.066666666666666,2186.6666666666665,67.9,1037.0,945.3333333333334,839.6666666666666,0.8,5.066666666666666,49139.666666666664,0.6333333333333334,1.0333333333333332
2011-08,96617,1398.7,2054.8,125449.0,0.0,6.033333333333333,2187.3333333333335,67.9,1039.0,946.6666666666666,841.3333333333334,0.6000000000000001,4.833333333333333,49404.333333333336,0.8666666666666667,1.4666666666666666
2011-09,97215,1402.0,2070.3,125559.0,0.0,6.0,2188.0,67.9,1041.0,948.0,843.0,0.4,4.6,49669.0,1.1,1.9
2011-10,98756,1474.4,2200.1,126132.6667,0.0,6.033333333333333,2188.3333333333335,67.86666666666667,1043.0,947.0,844.0,0.1666666666666667,3.6666666666666665,50744.666666666664,0.9333333333333333,2.3
2011-11,100205,1451.9,2331.5,126706.3333,0.0,6.066666666666666,2188.6666666666665,67.83333333333333,1045.0,946.0,845.0,-0.0666666666666666,2.7333333333333334,51820.333333333336,0.7666666666666666,2.7
2011-12,101428,1742.5,2771.2,127280.0,0.0,6.1,2189.0,67.8,1047.0,945.0,846.0,-0.3,1.8,52896.0,0.6,3.1
2012-01,100968,1441.3,2209.4,127597.0,0.0,6.2,2189.6666666666665,67.89999999999999,1048.6666666666667,946.3333333333334,847.6666666666666,-0.033333333333333326,1.7333333333333334,52034.0,0.6,2.966666666666667
2012-02,101209,1405.3,2230.0,127914.0,0.0,6.3,2190.3333333333335,68.0,1050.3333333333333,947.6666666666666,849.3333333333334,0.23333333333333334,1.6666666666666667,51172.0,0.6,2.8333333333333335
2012-03,101892,1503.9,2354.6,128231.0,0.0,6.4,2191.0,68.1,1052.0,949.0,851.0,0.5,1.6,50310.0,0.6,2.7
2012-04,102157,1426.3,2112.1,128658.0,16.0,6.4,2192.0,68.06666666666666,1053.3333333333333,950.3333333333334,854.0,0.43333333333333335,1.4000000000000001,50291.0,0.6,2.7333333333333334
2012-05,103070,1445.0,2188.9,129085.0,13.0,6.4,2193.0,68.03333333333333,1054.6666666666667,951.6666666666666,857.0,0.3666666666666667,1.2,50272.0,0.6,2.7666666666666666
