model_name,target,horizon,rmse,mape,max_error
model_forecast_h14,household_deposits,14,2822.37203366919,0.974463456109356,4671.5050403314235
model_forecast_h8,household_deposits,8,2892.68136830419,1.004530498688293,5339.393084626965
model_forecast_h5,household_deposits,5,1941.592479056605,0.5972934609230336,4315.554056791094
model_forecast_h2,household_deposits,2,1042.6961908980802,0.2839449539821287,2255.632167721924
