number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_samples_leaf,params_n_estimators,params_subsample,params_window_length,state
16,4575.116576775301,2025-10-15 07:19:37.080209,2025-10-15 07:20:03.969940,0 days 00:00:26.889731,0.07852233074870996,3,4,142,0.8708623012981789,104,COMPLETE
17,4496.810227796036,2025-10-15 07:20:03.970928,2025-10-15 07:20:59.124079,0 days 00:00:55.153151,0.042879525700118507,5,2,216,0.815673532990699,120,COMPLETE
18,4618.872851667206,2025-10-15 07:20:59.125183,2025-10-15 07:21:42.078514,0 days 00:00:42.953331,0.04163694923198907,5,4,218,0.7012585105414784,124,COMPLETE
19,4473.704047747988,2025-10-15 07:21:42.079486,2025-10-15 07:22:34.804907,0 days 00:00:52.725421,0.011882220983506352,5,1,237,0.7511106424595252,139,COMPLETE
20,4498.9287413341435,2025-10-15 07:22:34.805846,2025-10-15 07:23:37.327420,0 days 00:01:02.521574,0.012449712375207728,5,1,240,0.8150745922218707,139,COMPLETE
21,4562.729889618691,2025-10-15 07:23:37.328365,2025-10-15 07:24:34.941222,0 days 00:00:57.612857,0.01073452924632303,5,1,241,0.8167600918789413,140,COMPLETE
22,4511.01886012183,2025-10-15 07:24:34.942247,2025-10-15 07:25:32.108121,0 days 00:00:57.165874,0.012025384324451768,5,1,261,0.7543872254175014,138,COMPLETE
23,4511.873137628201,2025-10-15 07:25:32.109122,2025-10-15 07:26:23.372363,0 days 00:00:51.263241,0.019539030287207194,5,1,231,0.7742497684690561,149,COMPLETE
24,4564.711749316527,2025-10-15 07:26:23.373411,2025-10-15 07:27:23.893576,0 days 00:01:00.520165,0.03661563838498534,5,1,254,0.8182885368072391,124,COMPLETE
25,4501.052647428819,2025-10-15 07:27:23.894714,2025-10-15 07:28:12.781487,0 days 00:00:48.886773,0.017369303943243306,5,2,204,0.8150698999060287,133,COMPLETE
26,4461.068509365024,2025-10-15 07:28:12.782487,2025-10-15 07:29:02.708397,0 days 00:00:49.925910,0.0323887571145074,4,1,277,0.7629576088119175,150,COMPLETE
27,4624.590065690202,2025-10-15 07:29:02.709358,2025-10-15 07:29:43.341404,0 days 00:00:40.632046,0.04130434725807223,4,2,277,0.7317013123179221,180,COMPLETE
28,4510.35197621672,2025-10-15 07:29:43.342317,2025-10-15 07:30:32.589177,0 days 00:00:49.246860,0.032238616235643835,4,1,273,0.7680771823296018,152,COMPLETE
29,4499.615131136906,2025-10-15 07:30:32.590113,2025-10-15 07:31:04.517235,0 days 00:00:31.927122,0.05429075826707712,4,1,166,0.7545229497603304,160,COMPLETE
30,4552.322711828164,2025-10-15 07:31:04.518339,2025-10-15 07:31:54.946070,0 days 00:00:50.427731,0.04693572880419793,5,2,282,0.7270713304486446,171,COMPLETE
31,4615.508874632407,2025-10-15 07:31:54.947028,2025-10-15 07:32:48.147104,0 days 00:00:53.200076,0.021091854332962953,5,1,239,0.7992265570583016,155,COMPLETE
32,4555.488534726858,2025-10-15 07:32:48.148044,2025-10-15 07:33:50.605609,0 days 00:01:02.457565,0.011316333141076683,5,1,254,0.8525779153422469,141,COMPLETE
33,4598.324063406482,2025-10-15 07:33:50.606607,2025-10-15 07:34:35.093419,0 days 00:00:44.486812,0.032295782398640546,4,1,229,0.7718018472806982,118,COMPLETE
34,4525.202513302275,2025-10-15 07:34:35.094341,2025-10-15 07:35:16.343948,0 days 00:00:41.249607,0.024123307136722942,4,1,199,0.8068670270735188,132,COMPLETE
35,4506.308630154553,2025-10-15 07:35:16.344990,2025-10-15 07:35:57.530298,0 days 00:00:41.185308,0.01630123617246488,5,2,180,0.7798131157365636,145,COMPLETE
36,4530.59647354611,2025-10-15 07:35:57.531273,2025-10-15 07:36:29.373986,0 days 00:00:31.842713,0.03929170237740155,5,1,124,0.8286425266268648,162,COMPLETE
37,4625.349883279424,2025-10-15 07:36:29.374927,2025-10-15 07:37:07.418809,0 days 00:00:38.043882,0.030528793684429373,4,3,211,0.7462516502366047,144,COMPLETE
38,4646.966947923386,2025-10-15 07:37:07.419779,2025-10-15 07:37:53.649482,0 days 00:00:46.229703,0.04602230076063477,5,2,189,0.8572850990950017,100,COMPLETE
39,4589.972543282402,2025-10-15 07:37:53.650407,2025-10-15 07:38:37.078687,0 days 00:00:43.428280,0.0231269164309975,4,3,230,0.7924412009229354,136,COMPLETE
40,4527.9207510989745,2025-10-15 07:38:37.079580,2025-10-15 07:39:31.972066,0 days 00:00:54.892486,0.01445780106387739,5,1,263,0.713978221141217,119,COMPLETE
41,4539.892575759658,2025-10-15 07:39:31.973030,2025-10-15 07:40:04.798275,0 days 00:00:32.825245,0.05687163465260944,4,1,172,0.7551217711790568,163,COMPLETE
42,4523.048327413604,2025-10-15 07:40:04.799337,2025-10-15 07:40:36.485790,0 days 00:00:31.686453,0.05605928386879144,4,1,163,0.7628103979695602,160,COMPLETE
43,4542.246340189898,2025-10-15 07:40:36.486750,2025-10-15 07:41:07.881163,0 days 00:00:31.394413,0.05093301237747346,4,1,154,0.7851772171649031,156,COMPLETE
44,4583.423426640528,2025-10-15 07:41:07.882107,2025-10-15 07:41:44.104147,0 days 00:00:36.222040,0.026254069399361587,4,2,197,0.743719839927373,148,COMPLETE
45,4579.079577231692,2025-10-15 07:41:44.105095,2025-10-15 07:42:12.245183,0 days 00:00:28.140088,0.03558071351859061,5,1,126,0.7323472075896128,169,COMPLETE
46,4714.462185642926,2025-10-15 07:42:12.246270,2025-10-15 07:42:43.586644,0 days 00:00:31.340374,0.09939148177478549,5,3,217,0.722432312047973,195,COMPLETE
47,4684.893813454838,2025-10-15 07:42:43.587902,2025-10-15 07:43:18.533927,0 days 00:00:34.946025,0.028106387377983266,4,2,209,0.7977001118635128,183,COMPLETE
48,4531.691057097473,2025-10-15 07:43:18.534934,2025-10-15 07:43:57.714605,0 days 00:00:39.179671,0.04510631276400273,3,1,240,0.8290280910333896,152,COMPLETE
49,4592.645380489215,2025-10-15 07:43:57.715563,2025-10-15 07:44:51.255816,0 days 00:00:53.540253,0.0637055314675258,4,2,248,0.8722017266389311,129,COMPLETE
50,4554.826103480642,2025-10-15 07:44:51.256784,2025-10-15 07:45:52.641656,0 days 00:01:01.384872,0.07541272691503526,5,1,286,0.7581499156667978,143,COMPLETE
51,4535.248563077865,2025-10-15 07:45:52.642671,2025-10-15 07:46:41.162418,0 days 00:00:48.519747,0.01492902242629833,5,2,206,0.8113264073790218,134,COMPLETE
52,4531.634165365612,2025-10-15 07:46:41.163387,2025-10-15 07:47:27.737612,0 days 00:00:46.574225,0.018771532235268642,5,1,182,0.83073334855542,130,COMPLETE
53,4576.383040302186,2025-10-15 07:47:27.738727,2025-10-15 07:48:36.138884,0 days 00:01:08.400157,0.01696281061553548,5,3,299,0.7805834682537847,136,COMPLETE
54,4551.27455184367,2025-10-15 07:48:36.139796,2025-10-15 07:49:31.562675,0 days 00:00:55.422879,0.02157407059506979,5,2,227,0.8454645980832157,121,COMPLETE
55,4475.406468881657,2025-10-15 07:49:31.566446,2025-10-15 07:50:18.988750,0 days 00:00:47.422304,0.052211530591114504,5,1,197,0.8074867271611363,112,COMPLETE
56,4530.05344470307,2025-10-15 07:50:18.989713,2025-10-15 07:50:56.735758,0 days 00:00:37.746045,0.04922356917283991,5,1,148,0.8047414431803642,113,COMPLETE
