number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_samples_leaf,params_n_estimators,params_subsample,params_window_length,state
0,4565.941438748878,2025-10-15 07:10:13.417727,2025-10-15 07:10:48.726349,0 days 00:00:35.308622,0.09556428757689246,4,1,175,0.7468055921327309,156,COMPLETE
1,4719.200670534534,2025-10-15 07:10:48.727475,2025-10-15 07:11:08.909147,0 days 00:00:20.181672,0.08795585311974417,4,5,111,0.7061753482887407,168,COMPLETE
2,4550.475561838819,2025-10-15 07:11:08.910123,2025-10-15 07:11:39.993388,0 days 00:00:31.083265,0.029110519961044856,2,3,267,0.7912726728878613,110,COMPLETE
3,4560.924612825877,2025-10-15 07:11:39.994343,2025-10-15 07:12:17.436173,0 days 00:00:37.441830,0.036210622617823776,4,2,186,0.7876433945605654,105,COMPLETE
4,4591.417792489199,2025-10-15 07:12:17.437150,2025-10-15 07:12:44.696670,0 days 00:00:27.259520,0.08066583652537122,2,1,191,0.8777243706586128,147,COMPLETE
5,4677.392349552502,2025-10-15 07:12:44.697618,2025-10-15 07:13:09.556193,0 days 00:00:24.858575,0.02534717113185624,2,5,222,0.9896896099223678,195,COMPLETE
6,4606.8887467604345,2025-10-15 07:13:09.557199,2025-10-15 07:13:40.666111,0 days 00:00:31.108912,0.018790490260574548,4,3,161,0.7366114704534336,138,COMPLETE
7,4575.667734084128,2025-10-15 07:13:40.667151,2025-10-15 07:14:00.716685,0 days 00:00:20.049534,0.09183883618709039,3,3,106,0.7935133228268233,163,COMPLETE
8,4578.273675389905,2025-10-15 07:14:00.717650,2025-10-15 07:14:57.308403,0 days 00:00:56.590753,0.026636900997297437,5,5,209,0.9818496824692567,176,COMPLETE
9,4538.680362991145,2025-10-15 07:14:57.309422,2025-10-15 07:15:22.692723,0 days 00:00:25.383301,0.09296868115208053,2,2,220,0.7135681866731614,111,COMPLETE
10,4538.934373840044,2025-10-15 07:15:22.693829,2025-10-15 07:16:09.581418,0 days 00:00:46.887589,0.06093424638513159,3,2,291,0.8911276145661904,91,COMPLETE
11,4599.179896873015,2025-10-15 07:16:09.582491,2025-10-15 07:16:57.531060,0 days 00:00:47.948569,0.06616751744551291,3,2,297,0.9010784813515182,90,COMPLETE
12,4546.809113398926,2025-10-15 07:16:57.532018,2025-10-15 07:17:47.875028,0 days 00:00:50.343010,0.05160753753201191,3,2,250,0.9270224488044273,125,COMPLETE
13,4571.710719123818,2025-10-15 07:17:47.876905,2025-10-15 07:18:21.181971,0 days 00:00:33.305066,0.06985952537395923,2,2,290,0.8406115656663526,90,COMPLETE
14,4607.382648615256,2025-10-15 07:18:21.182962,2025-10-15 07:19:00.367726,0 days 00:00:39.184764,0.04805864512413173,3,4,240,0.8389304559256796,115,COMPLETE
15,4716.491091381165,2025-10-15 07:19:00.368664,2025-10-15 07:19:37.079203,0 days 00:00:36.710539,0.06610990356097687,2,1,268,0.9393984607237051,129,COMPLETE
