date,y_true,y_pred
2020-02-01,184486,184186.97367435563
2020-08-01,197508,197539.2287671237
2021-02-01,201574,202635.47300122274
2021-08-01,207060,207210.78782497303
2022-02-01,216533,216944.759299184
2022-08-01,223846,224635.06515202898
2023-02-01,227845,227505.57436098112
2023-08-01,235859,234387.75184338805
2024-02-01,241521,241279.15514397048
2024-08-01,249292,248014.41174699337
