number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_samples_leaf,params_n_estimators,params_subsample,params_window_length,state
0,3087.9114581687295,2025-10-15 06:40:37.631131,2025-10-15 06:41:13.367924,0 days 00:00:35.736793,0.09556428757689246,4,1,175,0.7468055921327309,156,COMPLETE
1,3100.3167093231377,2025-10-15 06:41:13.369061,2025-10-15 06:41:34.988946,0 days 00:00:21.619885,0.08795585311974417,4,5,111,0.7061753482887407,168,COMPLETE
2,3068.1034038386088,2025-10-15 06:41:34.989867,2025-10-15 06:42:08.092767,0 days 00:00:33.102900,0.029110519961044856,2,3,267,0.7912726728878613,110,COMPLETE
3,3001.7782801312446,2025-10-15 06:42:08.093741,2025-10-15 06:42:47.090967,0 days 00:00:38.997226,0.036210622617823776,4,2,186,0.7876433945605654,105,COMPLETE
4,3221.9214940879,2025-10-15 06:42:47.091907,2025-10-15 06:43:14.887288,0 days 00:00:27.795381,0.08066583652537122,2,1,191,0.8777243706586128,147,COMPLETE
5,3123.723414293208,2025-10-15 06:43:14.888259,2025-10-15 06:43:41.802292,0 days 00:00:26.914033,0.02534717113185624,2,5,222,0.9896896099223678,195,COMPLETE
6,3111.627397885375,2025-10-15 06:43:41.803249,2025-10-15 06:44:14.702742,0 days 00:00:32.899493,0.018790490260574548,4,3,161,0.7366114704534336,138,COMPLETE
7,2978.3148597739237,2025-10-15 06:44:14.703679,2025-10-15 06:44:35.745413,0 days 00:00:21.041734,0.09183883618709039,3,3,106,0.7935133228268233,163,COMPLETE
8,3207.3520290088404,2025-10-15 06:44:35.746501,2025-10-15 06:45:26.181154,0 days 00:00:50.434653,0.026636900997297437,5,5,209,0.9818496824692567,176,COMPLETE
9,3047.6925448000807,2025-10-15 06:45:26.182112,2025-10-15 06:45:52.224984,0 days 00:00:26.042872,0.09296868115208053,2,2,220,0.7135681866731614,111,COMPLETE
10,3073.4840195622774,2025-10-15 06:45:52.225885,2025-10-15 06:46:15.475924,0 days 00:00:23.250039,0.06126138430857386,3,4,104,0.8832421081755242,128,COMPLETE
11,3007.83359942493,2025-10-15 06:46:15.477091,2025-10-15 06:46:41.379340,0 days 00:00:25.902249,0.04957570199331338,3,2,138,0.8183493225095365,91,COMPLETE
12,3083.099726191615,2025-10-15 06:46:41.380310,2025-10-15 06:47:32.711167,0 days 00:00:51.330857,0.04721731377139751,5,2,261,0.7907275359105493,186,COMPLETE
13,3059.599005677308,2025-10-15 06:47:32.712124,2025-10-15 06:47:59.841412,0 days 00:00:27.129288,0.06824822139716208,3,4,140,0.8406115656663526,125,COMPLETE
14,3231.16821757185,2025-10-15 06:47:59.842356,2025-10-15 06:48:52.387517,0 days 00:00:52.545161,0.04211794036682322,4,3,288,0.7764847057599829,161,COMPLETE
15,3061.9900018207873,2025-10-15 06:48:52.388427,2025-10-15 06:49:20.123715,0 days 00:00:27.735288,0.0749084001275511,3,2,135,0.9072021772233809,94,COMPLETE
16,3160.2106856452633,2025-10-15 06:49:20.124695,2025-10-15 06:50:16.812095,0 days 00:00:56.687400,0.03731016707997022,5,4,241,0.828305382281247,144,COMPLETE
17,2986.431956839018,2025-10-15 06:50:16.813038,2025-10-15 06:51:01.041068,0 days 00:00:44.228030,0.05876493111622104,4,1,176,0.9359883615309995,108,COMPLETE
18,2959.2380760781784,2025-10-15 06:51:01.041997,2025-10-15 06:51:35.821881,0 days 00:00:34.779884,0.06289319757045889,3,1,161,0.943618130175406,129,COMPLETE
19,2918.0024343681625,2025-10-15 06:51:35.822766,2025-10-15 06:52:03.620268,0 days 00:00:27.797502,0.08240638205278353,3,1,119,0.9521611575184935,129,COMPLETE
20,3059.733743490582,2025-10-15 06:52:03.621220,2025-10-15 06:52:37.292456,0 days 00:00:33.671236,0.07049705086947816,3,1,153,0.949926862782613,125,COMPLETE
21,3066.2293616839374,2025-10-15 06:52:37.293384,2025-10-15 06:53:05.555776,0 days 00:00:28.262392,0.08429209935425766,3,1,122,0.9541343975084529,139,COMPLETE
22,3084.8652048281965,2025-10-15 06:53:05.556803,2025-10-15 06:53:28.038228,0 days 00:00:22.481425,0.07839447476975651,3,3,101,0.8748612119387165,155,COMPLETE
23,3056.4046317529524,2025-10-15 06:53:28.039163,2025-10-15 06:53:55.966387,0 days 00:00:27.927224,0.09778133553550661,3,1,123,0.9244647331898954,133,COMPLETE
24,3041.091734333522,2025-10-15 06:53:55.967335,2025-10-15 06:54:20.712903,0 days 00:00:24.745568,0.06395185027751646,2,2,157,0.9654097346090242,169,COMPLETE
25,2992.0304776444796,2025-10-15 06:54:20.713848,2025-10-15 06:54:47.323123,0 days 00:00:26.609275,0.08880812626037972,3,4,124,0.9038822027393183,118,COMPLETE
26,3211.010743624285,2025-10-15 06:54:47.324056,2025-10-15 06:55:18.694402,0 days 00:00:31.370346,0.07333443200436064,3,1,148,0.9195750828348641,150,COMPLETE
27,3125.4010800241026,2025-10-15 06:55:18.695371,2025-10-15 06:55:38.825374,0 days 00:00:20.130003,0.08247633230177429,2,3,119,0.858497854521492,121,COMPLETE
28,3059.384016290184,2025-10-15 06:55:38.826263,2025-10-15 06:56:15.233925,0 days 00:00:36.407662,0.05460011055880251,3,2,166,0.9949829287718314,136,COMPLETE
29,3135.6878977923134,2025-10-15 06:56:15.234899,2025-10-15 06:56:48.917511,0 days 00:00:33.682612,0.0997722845632876,4,1,175,0.7614913207900242,180,COMPLETE
30,3084.3498531705004,2025-10-15 06:56:48.918451,2025-10-15 06:57:09.528427,0 days 00:00:20.609976,0.09293143409694267,2,1,137,0.8039631848636346,157,COMPLETE
31,3089.0768761207364,2025-10-15 06:57:09.529415,2025-10-15 06:57:53.858285,0 days 00:00:44.328870,0.05908396762242544,4,1,176,0.9453994093772317,100,COMPLETE
32,2953.837490164077,2025-10-15 06:57:53.859255,2025-10-15 06:58:43.729565,0 days 00:00:49.870310,0.06748319257118712,4,1,203,0.9258776035364521,113,COMPLETE
33,2990.6744429972464,2025-10-15 06:58:43.730480,2025-10-15 06:59:15.696003,0 days 00:00:31.965523,0.06569108505252781,4,1,109,0.9711570123770287,115,COMPLETE
34,3062.0905451212116,2025-10-15 06:59:15.696985,2025-10-15 07:00:03.463803,0 days 00:00:47.766818,0.07586714797159619,4,2,201,0.8969433737255859,131,COMPLETE
35,2944.574077763718,2025-10-15 07:00:03.464785,2025-10-15 07:00:40.748527,0 days 00:00:37.283742,0.08812888237275851,3,1,197,0.9259400781111499,167,COMPLETE
36,3116.6781295907094,2025-10-15 07:00:40.749525,2025-10-15 07:01:27.171282,0 days 00:00:46.421757,0.08558307474283133,4,1,191,0.9279196670888935,99,COMPLETE
37,3037.9254342513996,2025-10-15 07:01:27.172431,2025-10-15 07:02:15.667779,0 days 00:00:48.495348,0.05452199623722905,3,1,243,0.9647623506340302,142,COMPLETE
38,3050.9005127668897,2025-10-15 07:02:15.668776,2025-10-15 07:03:06.250434,0 days 00:00:50.581658,0.08094777620899365,4,2,213,0.914653612278989,115,COMPLETE
39,3269.127900576594,2025-10-15 07:03:06.251380,2025-10-15 07:03:52.804828,0 days 00:00:46.553448,0.08864903514764709,3,1,239,0.9375273660389997,151,COMPLETE
40,2987.5386548084457,2025-10-15 07:03:52.805852,2025-10-15 07:04:47.556399,0 days 00:00:54.750547,0.07020147367713431,5,2,197,0.8889178961652916,122,COMPLETE
