number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_samples_leaf,params_n_estimators,params_subsample,params_window_length,state
0,854.9137223111414,2025-10-15 05:53:37.508819,2025-10-15 05:54:28.938594,0 days 00:00:51.429775,0.09556428757689246,4,1,175,0.7468055921327309,156,COMPLETE
1,836.2001675970516,2025-10-15 05:54:28.940002,2025-10-15 05:54:57.431384,0 days 00:00:28.491382,0.08795585311974417,4,5,111,0.7061753482887407,168,COMPLETE
2,900.086940230239,2025-10-15 05:54:57.432335,2025-10-15 05:55:39.962920,0 days 00:00:42.530585,0.029110519961044856,2,3,267,0.7912726728878613,110,COMPLETE
3,873.3237891935303,2025-10-15 05:55:39.963901,2025-10-15 05:56:31.643083,0 days 00:00:51.679182,0.036210622617823776,4,2,186,0.7876433945605654,105,COMPLETE
4,953.2542905841782,2025-10-15 05:56:31.644104,2025-10-15 05:57:08.750982,0 days 00:00:37.106878,0.08066583652537122,2,1,191,0.8777243706586128,147,COMPLETE
5,1113.7123457983932,2025-10-15 05:57:08.751917,2025-10-15 05:57:45.060488,0 days 00:00:36.308571,0.02534717113185624,2,5,222,0.9896896099223678,195,COMPLETE
6,935.8923096765121,2025-10-15 05:57:45.061504,2025-10-15 05:58:28.867015,0 days 00:00:43.805511,0.018790490260574548,4,3,161,0.7366114704534336,138,COMPLETE
7,962.6217786062613,2025-10-15 05:58:28.867996,2025-10-15 05:58:55.860577,0 days 00:00:26.992581,0.09183883618709039,3,3,106,0.7935133228268233,163,COMPLETE
8,1028.9410424509504,2025-10-15 05:58:55.861662,2025-10-15 06:00:07.189241,0 days 00:01:11.327579,0.026636900997297437,5,5,209,0.9818496824692567,176,COMPLETE
9,910.4450356473817,2025-10-15 06:00:07.190188,2025-10-15 06:00:41.054555,0 days 00:00:33.864367,0.09296868115208053,2,2,220,0.7135681866731614,111,COMPLETE
10,1208.9381655548523,2025-10-15 06:00:41.055816,2025-10-15 06:01:14.563197,0 days 00:00:33.507381,0.062358738156468245,5,4,104,0.8920265507402669,193,COMPLETE
11,947.9156967608325,2025-10-15 06:01:14.564248,2025-10-15 06:01:55.891468,0 days 00:00:41.327220,0.07061299252806688,4,1,151,0.7026465465198547,148,COMPLETE
12,987.5405077880447,2025-10-15 06:01:55.892419,2025-10-15 06:02:25.867369,0 days 00:00:29.974950,0.09955258262452091,3,4,138,0.7552636126159771,171,COMPLETE
13,915.2531454127162,2025-10-15 06:02:25.868377,2025-10-15 06:03:43.644202,0 days 00:01:17.775825,0.04925314605726416,4,2,265,0.8406115656663526,128,COMPLETE
14,864.4973102869687,2025-10-15 06:03:43.645173,2025-10-15 06:04:22.108616,0 days 00:00:38.463443,0.07918208884422392,5,4,122,0.7562597894300102,161,COMPLETE
15,1355.0736582431855,2025-10-15 06:04:22.109617,2025-10-15 06:05:25.598898,0 days 00:01:03.489281,0.08487557743588979,3,1,300,0.840151658688615,178,COMPLETE
16,996.5038057729018,2025-10-15 06:05:25.601326,2025-10-15 06:06:19.837466,0 days 00:00:54.236140,0.05025981338729584,4,5,166,0.934200705383078,130,COMPLETE
17,888.0797999451647,2025-10-15 06:06:19.838432,2025-10-15 06:06:50.834205,0 days 00:00:30.995773,0.06888518501251402,3,2,134,0.7429320960850205,157,COMPLETE
18,1263.5775978644283,2025-10-15 06:06:50.835205,2025-10-15 06:07:33.143973,0 days 00:00:42.308768,0.09543750612568873,5,4,175,0.7016908360490031,185,COMPLETE
19,888.1325665183278,2025-10-15 06:07:33.144986,2025-10-15 06:08:40.666590,0 days 00:01:07.521604,0.08472078572606562,4,3,241,0.8173570378705194,121,COMPLETE
20,850.7033969659682,2025-10-15 06:08:40.671287,2025-10-15 06:09:11.134261,0 days 00:00:30.462974,0.0736475030709716,3,1,121,0.7711726479032289,156,COMPLETE
21,832.8076802258787,2025-10-15 06:09:11.135726,2025-10-15 06:09:42.072273,0 days 00:00:30.936547,0.07357408220334305,3,1,124,0.772020310695053,154,COMPLETE
22,864.4962366378469,2025-10-15 06:09:42.073250,2025-10-15 06:10:10.759745,0 days 00:00:28.686495,0.07010132046256835,3,1,118,0.7734251601828654,94,COMPLETE
23,1005.7249158262299,2025-10-15 06:10:10.760709,2025-10-15 06:10:43.476476,0 days 00:00:32.715767,0.05812555259059315,3,2,134,0.8138381686544061,167,COMPLETE
24,815.312695970385,2025-10-15 06:10:43.477405,2025-10-15 06:11:18.561977,0 days 00:00:35.084572,0.07612043504920069,3,1,151,0.7317372052659379,139,COMPLETE
25,967.0903752012358,2025-10-15 06:11:18.562959,2025-10-15 06:11:51.302998,0 days 00:00:32.740039,0.08706528501687437,3,2,144,0.7232890659267666,141,COMPLETE
26,979.1359386959427,2025-10-15 06:11:51.303956,2025-10-15 06:12:18.036324,0 days 00:00:26.732368,0.06257780942050531,3,1,104,0.7279155128533613,134,COMPLETE
27,1011.8519992105289,2025-10-15 06:12:18.037294,2025-10-15 06:12:46.051607,0 days 00:00:28.014313,0.07705331953160327,2,5,154,0.8144948234793441,147,COMPLETE
28,938.2717430182562,2025-10-15 06:12:46.052587,2025-10-15 06:13:22.531325,0 days 00:00:36.478738,0.043143550920988656,4,2,127,0.7271607461762903,123,COMPLETE
29,917.084225714365,2025-10-15 06:13:22.532369,2025-10-15 06:13:57.245653,0 days 00:00:34.713284,0.06504302559011638,4,1,114,0.7597851344906132,153,COMPLETE
30,1048.3159668746237,2025-10-15 06:13:57.246609,2025-10-15 06:14:28.875303,0 days 00:00:31.628694,0.08827770290014682,3,3,147,0.7466139244363481,172,COMPLETE
31,834.9418713569194,2025-10-15 06:14:28.876267,2025-10-15 06:14:59.219625,0 days 00:00:30.343358,0.0738711975297386,3,1,121,0.7789959200271757,156,COMPLETE
32,1162.5913470724633,2025-10-15 06:14:59.220558,2025-10-15 06:15:29.050134,0 days 00:00:29.829576,0.07594664741623189,3,1,131,0.7782369277722104,184,COMPLETE
33,904.5231455991219,2025-10-15 06:15:29.051148,2025-10-15 06:15:59.919301,0 days 00:00:30.868153,0.08266722128646203,2,1,170,0.8057691576250964,151,COMPLETE
34,920.4197540681845,2025-10-15 06:15:59.920249,2025-10-15 06:16:25.819254,0 days 00:00:25.899005,0.010023590107424159,3,1,100,0.7167727346800904,140,COMPLETE
35,944.14181434572,2025-10-15 06:16:25.820271,2025-10-15 06:17:15.301132,0 days 00:00:49.480861,0.05691626626311996,4,2,181,0.7934467313700031,165,COMPLETE
36,851.526500044318,2025-10-15 06:17:15.302091,2025-10-15 06:17:39.373426,0 days 00:00:24.071335,0.07888397604400844,2,1,113,0.8560782540988587,157,COMPLETE
37,872.2913509638774,2025-10-15 06:17:39.374353,2025-10-15 06:18:14.796577,0 days 00:00:35.422224,0.06602089419019068,3,2,155,0.7370436510956192,143,COMPLETE
38,774.7596398746051,2025-10-15 06:18:14.797511,2025-10-15 06:19:06.573332,0 days 00:00:51.775821,0.07344290290006429,4,3,200,0.7643393094474292,160,COMPLETE
39,945.2561703585577,2025-10-15 06:19:06.574280,2025-10-15 06:19:50.972356,0 days 00:00:44.398076,0.07328479955250282,3,1,194,0.7667137587524938,135,COMPLETE
40,917.04466927119,2025-10-15 06:19:50.973412,2025-10-15 06:20:46.369851,0 days 00:00:55.396439,0.03877999945884632,4,3,210,0.7905330169346982,162,COMPLETE
41,1031.1437403444036,2025-10-15 06:20:46.370855,2025-10-15 06:21:42.974192,0 days 00:00:56.603337,0.08971805441036698,4,4,246,0.7380521079610135,167,COMPLETE
42,887.8849834857067,2025-10-15 06:21:42.975124,2025-10-15 06:22:18.346190,0 days 00:00:35.371066,0.08378170823036814,4,5,141,0.7116807801822395,151,COMPLETE
43,1052.713792896752,2025-10-15 06:22:18.347169,2025-10-15 06:22:50.438996,0 days 00:00:32.091827,0.08058644544768101,4,4,126,0.7568355898385473,180,COMPLETE
44,1033.0947532524867,2025-10-15 06:22:50.439935,2025-10-15 06:23:17.229200,0 days 00:00:26.789265,0.09757622690382933,3,3,111,0.7810904164566741,170,COMPLETE
45,946.4474931221931,2025-10-15 06:23:17.230185,2025-10-15 06:24:10.074962,0 days 00:00:52.844777,0.07347335926693567,4,2,161,0.9022784814759354,146,COMPLETE
46,839.6755133377583,2025-10-15 06:24:10.075922,2025-10-15 06:24:45.400262,0 days 00:00:35.324340,0.0921227045505132,2,1,201,0.827065383351034,160,COMPLETE
47,1144.479120744767,2025-10-15 06:24:45.401228,2025-10-15 06:25:17.831039,0 days 00:00:32.429811,0.060899006041699344,3,3,185,0.7033409231499802,192,COMPLETE
48,1011.5787823619507,2025-10-15 06:25:17.832759,2025-10-15 06:26:20.618061,0 days 00:01:02.785302,0.06803755126642633,5,5,233,0.7994263920051009,175,COMPLETE
49,900.8853467066609,2025-10-15 06:26:20.619056,2025-10-15 06:27:27.792230,0 days 00:01:07.173174,0.05244007845410408,4,4,278,0.7513144194572343,151,COMPLETE
50,935.269441817968,2025-10-15 06:27:27.793224,2025-10-15 06:27:58.628865,0 days 00:00:30.835641,0.077010409631401,3,1,108,0.8657588099491305,136,COMPLETE
51,867.135344692488,2025-10-15 06:27:58.629905,2025-10-15 06:28:34.742196,0 days 00:00:36.112291,0.09281311649851988,2,1,206,0.8351604576023491,159,COMPLETE
52,888.9885035802421,2025-10-15 06:28:34.743209,2025-10-15 06:29:08.876700,0 days 00:00:34.133491,0.09570241787699811,2,1,199,0.8268411906118261,163,COMPLETE
53,876.6647242016288,2025-10-15 06:29:08.877674,2025-10-15 06:29:51.765817,0 days 00:00:42.888143,0.08830927268572444,2,2,220,0.971086293299812,160,COMPLETE
54,821.0518941929591,2025-10-15 06:29:51.767758,2025-10-15 06:30:28.358870,0 days 00:00:36.591112,0.0911324724509988,2,1,229,0.7638165963456545,155,COMPLETE
55,960.7698049191833,2025-10-15 06:30:28.363302,2025-10-15 06:31:42.849071,0 days 00:01:14.485769,0.07187464059505215,5,1,230,0.7666386957454367,145,COMPLETE
56,871.1149373439749,2025-10-15 06:31:42.850027,2025-10-15 06:32:47.263073,0 days 00:01:04.413046,0.08180018125992154,4,1,254,0.7293191634082599,154,COMPLETE
57,945.3229388275228,2025-10-15 06:32:47.264024,2025-10-15 06:33:15.421066,0 days 00:00:28.157042,0.0993045052136361,3,2,122,0.7471273979936234,168,COMPLETE
58,1014.0678909831049,2025-10-15 06:33:15.422010,2025-10-15 06:33:54.055042,0 days 00:00:38.633032,0.0859082193142433,4,1,137,0.7806675875975773,174,COMPLETE
59,931.5376659007976,2025-10-15 06:33:54.055925,2025-10-15 06:34:38.196169,0 days 00:00:44.140244,0.07513342547493093,3,2,217,0.7174455094071067,114,COMPLETE
60,1047.2116111943171,2025-10-15 06:34:38.197132,2025-10-15 06:35:18.283099,0 days 00:00:40.085967,0.06650230614638704,3,5,258,0.7652523221395371,200,COMPLETE
61,882.3577697281829,2025-10-15 06:35:18.284025,2025-10-15 06:35:56.695573,0 days 00:00:38.411548,0.09094829185093449,2,1,231,0.8015130220169072,149,COMPLETE
62,860.6847014860864,2025-10-15 06:35:56.696486,2025-10-15 06:36:28.279330,0 days 00:00:31.582844,0.0946003778089642,2,1,193,0.740472762186305,155,COMPLETE
63,839.0401100245308,2025-10-15 06:36:28.280303,2025-10-15 06:36:59.884309,0 days 00:00:31.604006,0.07909133311753778,2,1,177,0.7855636457801604,130,COMPLETE
64,844.7776900095704,2025-10-15 06:36:59.885279,2025-10-15 06:37:31.145450,0 days 00:00:31.260171,0.07943069458331085,2,1,174,0.7835860311799298,130,COMPLETE
65,864.5536271132337,2025-10-15 06:37:31.146424,2025-10-15 06:37:55.785012,0 days 00:00:24.638588,0.07016587288748263,2,1,130,0.7603475760351763,118,COMPLETE
66,904.5720950851327,2025-10-15 06:37:55.785992,2025-10-15 06:38:24.003109,0 days 00:00:28.217117,0.08514525654321353,2,1,162,0.7292404783903004,128,COMPLETE
67,912.7015491082576,2025-10-15 06:38:24.004047,2025-10-15 06:39:02.098716,0 days 00:00:38.094669,0.0780037877646919,3,2,180,0.7083209054141127,143,COMPLETE
68,841.3506299628423,2025-10-15 06:39:02.099717,2025-10-15 06:39:44.399905,0 days 00:00:42.300188,0.06264955650334769,4,1,145,0.7514492468211883,139,COMPLETE
